# Processed image data
# 32x32
 14,	 22,	 23,	 22,	 10,	 12,	 17,	 17,	  9,	 19,	  9,	  7,	 19,	 31,	 34,	 27,	 20,	 74,	 51,	 40,	 45,	 53,	 53,	 47,	 49,	 74,	 29,	 17,	 14,	  9,	 14,	 10
 20,	 12,	 22,	 33,	 20,	 12,	 22,	 27,	 15,	 12,	 17,	 14,	 20,	 22,	 22,	 27,	 35,	 35,	 22,	 19,	 37,	 30,	 23,	 33,	 12,	 19,	 22,	 43,	 12,	 12,	 12,	 20
 10,	 12,	 12,	  3,	  7,	  7,	 14,	 14,	 19,	 38,	 26,	  7,	 31,	 48,	 39,	 24,	 33,	 69,	 35,	 29,	 64,	 39,	 53,	 51,	 57,	131,	 93,	 31,	 15,	 14,	 24,	  9
  5,	 10,	 23,	  7,	  5,	  7,	 14,	  9,	 10,	 15,	 26,	  7,	 26,	 39,	 33,	 24,	 31,	 34,	 34,	 22,	 51,	 17,	 10,	 24,	 26,	 43,	 45,	 20,	 23,	 19,	 15,	 27
  9,	  3,	  9,	  3,	  7,	 10,	 10,	 12,	 24,	 45,	 35,	 31,	 66,	 49,	 37,	 33,	 42,	 19,	 20,	 17,	 55,	 54,	 24,	 20,	 51,	 85,	 26,	 55,	 29,	 10,	 17,	 10
  3,	 14,	 15,	  5,	  5,	  7,	  9,	 10,	 23,	 62,	 35,	 37,	 43,	 47,	 20,	 45,	 44,	 27,	 37,	 10,	 49,	 39,	 43,	 20,	 35,	 55,	 20,	 40,	 17,	 14,	 15,	 12
  7,	  5,	  7,	  7,	  5,	 30,	 14,	 19,	 20,	 19,	 53,	 31,	 39,	 34,	 20,	 17,	 40,	 44,	100,	104,	 84,	 84,	100,	 54,	 12,	 45,	 23,	 42,	 23,	 12,	 12,	  7
  7,	  7,	 14,	  7,	  9,	 26,	 20,	 12,	  3,	  0,	 20,	 14,	 17,	 14,	 23,	 22,	 34,	 57,	122,	182,	255,	131,	112,	 37,	 27,	 42,	 30,	 10,	 15,	 29,	 17,	  7
 30,	 14,	  9,	  9,	 12,	 34,	 55,	 19,	 26,	 37,	 34,	 23,	 37,	 38,	 87,	 93,	255,	255,	255,	255,	255,	255,	255,	255,	255,	230,	107,	 54,	 15,	 14,	 20,	  9
 19,	 10,	  5,	  7,	  7,	 10,	 23,	 20,	 27,	 55,	 54,	 24,	 34,	 43,	 61,	 82,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	138,	 45,	 29,	 33,	 24,	 10
 22,	  9,	 15,	 15,	 35,	 82,	 76,	 24,	142,	238,	255,	155,	112,	164,	255,	253,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	255,	 49,	 23,	 34,	 15
