# Original image data
# 3x23
0.099,	0.136,	0.128
0.255,	0.328,	0.276
0.555,	0.923,	0.187
0.354,	0.330,	0.446
0.896,	0.631,	0.379
0.499,	0.556,	0.447
0.624,	0.584,	0.348
0.499,	0.784,	0.267
0.502,	0.515,	0.176
0.489,	0.458,	0.241
0.409,	0.394,	0.159
0.504,	0.289,	0.195
0.293,	0.360,	0.170
0.770,	0.523,	0.328
0.273,	0.192,	0.139
0.353,	0.411,	0.168
0.265,	0.164,	0.111
0.489,	0.325,	0.239
0.333,	0.122,	0.117
0.294,	0.243,	0.145
0.191,	0.324,	0.147
0.288,	0.252,	0.144
0.329,	0.277,	0.285
