# Original image data
# 8x21
0.364,	0.207,	0.322,	0.193,	0.304,	0.222,	0.223,	0.251
0.157,	0.095,	0.159,	0.334,	0.235,	0.130,	0.141,	0.122
0.326,	0.148,	0.217,	0.279,	0.335,	0.150,	0.150,	0.160
0.129,	0.165,	0.260,	0.478,	0.345,	0.312,	0.098,	0.139
0.333,	0.341,	0.386,	0.586,	0.614,	0.329,	0.287,	0.153
0.107,	0.150,	0.997,	0.694,	0.402,	0.474,	0.141,	0.412
0.208,	0.387,	0.831,	0.458,	0.596,	0.488,	0.182,	0.299
0.360,	0.172,	0.586,	0.280,	0.299,	0.344,	0.296,	0.888
0.197,	0.274,	0.902,	0.651,	0.619,	0.225,	0.130,	0.227
0.285,	0.143,	0.909,	0.813,	0.826,	0.161,	0.144,	0.148
0.192,	0.122,	0.683,	0.492,	0.782,	0.462,	0.132,	0.093
0.185,	0.364,	0.448,	0.447,	0.448,	0.161,	0.100,	0.181
0.192,	0.069,	0.935,	0.673,	0.670,	0.286,	0.143,	0.228
0.046,	0.066,	0.714,	0.635,	0.646,	0.198,	0.117,	0.101
0.235,	0.084,	0.297,	0.147,	0.302,	0.160,	0.065,	0.074
0.108,	0.118,	0.381,	0.703,	0.732,	0.270,	0.224,	0.124
0.144,	0.395,	0.193,	0.159,	0.259,	0.097,	0.140,	0.098
0.087,	0.132,	0.248,	0.224,	0.232,	0.121,	0.078,	0.091
0.071,	0.141,	0.218,	0.398,	0.895,	0.127,	0.052,	0.073
0.082,	0.253,	0.273,	0.144,	0.066,	0.102,	0.116,	0.108
0.131,	0.283,	0.268,	0.434,	0.654,	0.445,	0.078,	0.216
