# Original image data
# 5x9
0.995,	1.000,	0.591,	0.829,	1.000
0.095,	0.226,	0.126,	0.228,	0.296
0.490,	0.630,	0.309,	0.707,	0.661
0.444,	0.611,	0.101,	0.743,	0.641
0.149,	0.336,	0.171,	0.507,	0.501
0.548,	0.800,	0.249,	0.516,	0.419
0.214,	0.263,	0.170,	0.502,	0.458
0.377,	0.617,	0.206,	0.496,	0.362
0.313,	0.448,	0.257,	0.694,	0.554
